date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:58	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=647127feeb26aa9e174fc3c0	D:/client-sites/edentattoonepal/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c899cc.js	(from https://www.antattoo.net/)
13:43:58	629504/629504	---M-Z	200	added ('OK')	text/javascript	etag:%224fbd71feed79fd244ff23186776bddad%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/js/webflow.16981ae8d.js	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/js/webflow.16981ae8d.js	(from https://www.antattoo.net/)
13:43:58	13321/13321	---M-Z	200	added ('OK')	application/javascript	etag:W/%223409-w9Y03eyVWdhcmN83QS4sGpke7HE%22	https://cdn.jsdelivr.net/gh/studio-freight/lenis@0.2.28/bundled/lenis.js	D:/client-sites/edentattoonepal/cdn.jsdelivr.net/gh/studio-freight/lenis@0.2.28/bundled/lenis.js	(from https://www.antattoo.net/)
13:43:58	167/167	---M--	200	added ('OK')	image/svg+xml	etag:%22589d534424c61fa6b1b7336b007891f0%22	https://d3e54v103j8qbb.cloudfront.net/static/custom-checkbox-checkmark.589d534424.svg	D:/client-sites/edentattoonepal/d3e54v103j8qbb.cloudfront.net/static/custom-checkbox-checkmark.589d534424.svg	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:01	682616/682616	---M--	200	added ('OK')	image/webp	etag:%22c7d3b5ce85919b4cf81c22cfd8d53494%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/649512c2ed585987154f3d02_antattoo%20site-7021.webp	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/649512c2ed585987154f3d02_antattoo%20site-7021.webp	(from https://www.antattoo.net/)
13:44:01	590502/590502	---M--	200	added ('OK')	image/jpeg	etag:%227d75c45b99e844446e12f51ed9d77334%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/64b7823f4c7f046a3e3482e2_ANTATTOO%20re%20render%20-7260.jpg	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/64b7823f4c7f046a3e3482e2_ANTATTOO%20re%20render%20-7260.jpg	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:02	221520/221520	---M--	200	added ('OK')	image/webp	etag:%22c6887cd5ce9507021c97039c77acf31b%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/649e14e4a6cf1bdc7520429e_New%20An%20Tattoo%20Pic-0164-2.webp	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/649e14e4a6cf1bdc7520429e_New%20An%20Tattoo%20Pic-0164-2.webp	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:03	699828/699828	---M--	200	added ('OK')	image/jpeg	etag:%22f1571788c6b2087e04d905801188b750%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/64b782404c7f046a3e3483bf_ANTATTOO%20re%20render%20-0304.jpg	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/64b782404c7f046a3e3483bf_ANTATTOO%20re%20render%20-0304.jpg	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:05	281700/281700	---M--	200	added ('OK')	image/webp	etag:%22211b4d6be76197d26ebfef0a8527fb7d%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/648ad0f1f8a7ff8e3e1d0450_antattoo%20site-2.webp	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/648ad0f1f8a7ff8e3e1d0450_antattoo%20site-2.webp	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:05	921062/921062	---M--	200	added ('OK')	image/jpeg	etag:%22d8e0a08d43a4a729f024b7b4a5fe9bf4%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/64b78228ce357c104593c3ae_ANTATTOO%20re%20render%20-2.jpg	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/64b78228ce357c104593c3ae_ANTATTOO%20re%20render%20-2.jpg	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:06	708193/708193	---M--	200	added ('OK')	image/png	etag:%22b392d27fc5a07916b0712703403c0da7%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/648ad74cc424132d4e15db04_Home%20Gradient.png	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/648ad74cc424132d4e15db04_Home%20Gradient.png	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:07	934889/934889	---M--	200	added ('OK')	image/png	etag:%2212a58b7f52ff37227553bcfe18dc1914%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/648ad66fc424132d4e14902b_Chiwon%20Homepage%20floater.png	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/648ad66fc424132d4e14902b_Chiwon%20Homepage%20floater.png	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
13:44:08	252058/252058	---M--	200	added ('OK')	image/png	etag:%2214e5322a2ad9955d717a51f5b2d21854%22	https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/648adb44eb905c3acb41face_Above%20gradient%20logo%20floater.png	D:/client-sites/edentattoonepal/assets-global.website-files.com/647127feeb26aa9e174fc3c0/648adb44eb905c3acb41face_Above%20gradient%20logo%20floater.png	(from https://assets-global.website-files.com/647127feeb26aa9e174fc3c0/css/an-tattoo.webflow.fc7207c74.css)
